image_size,resolution1,resolution2,face_num,face_area,cpu_core,mem_total,disk_available,process_time
607508,1280,960,2,16020,1,1018712064,7325040640,0.538563013
607798,1280,960,2,19674,1,1018712064,7325040640,0.533785105
607698,1280,960,2,19477,1,1018712064,7325040640,0.530636072
611161,1280,960,2,23112,1,1018712064,7325040640,0.52997303
606197,1280,960,1,8010,1,1018712064,7325040640,0.55051589
606873,1280,960,1,8010,1,1018712064,7325040640,0.551015854
603500,1280,960,1,8010,1,1018712064,7325040640,0.529410839
602495,1280,960,1,8010,1,1018712064,7325040640,0.527121067
603902,1280,960,2,16020,1,1018712064,7325040640,0.529913902
601811,1280,960,2,16020,1,1018712064,7325040640,0.583341122
596887,1280,960,2,13560,1,1018712064,7325040640,0.532667875
599614,1280,960,2,9456,1,1018712064,7325040640,0.535022974
599158,1280,960,2,13471,1,1018712064,7325040640,0.534046888
595261,1280,960,2,16020,1,1018712064,7325024256,0.531699896
591324,1280,960,2,13635,1,1018712064,7325024256,0.59352994
462210,1280,720,2,19549,1,1018712064,7325024256,0.409386873
466263,1280,720,1,8100,1,1018712064,7325024256,0.406505108
465176,1280,720,1,8100,1,1018712064,7325024256,0.399180889
459621,1280,720,2,13725,1,1018712064,7325024256,0.4052279
458851,1280,720,1,8100,1,1018712064,7325024256,0.401163101
460127,1280,720,2,16200,1,1018712064,7325024256,0.449081182
458826,1280,720,1,8100,1,1018712064,7325024256,0.401599884
457584,1280,720,2,19549,1,1018712064,7325024256,0.404784918
457409,1280,720,2,16200,1,1018712064,7325024256,0.402601004
457011,1280,720,1,8100,1,1018712064,7325024256,0.401104212
458032,1280,720,2,16200,1,1018712064,7325024256,0.403392076
461085,1280,720,2,16200,1,1018712064,7325024256,0.431433916
463622,1280,720,2,19549,1,1018712064,7325024256,0.409801006
461393,1280,720,2,16200,1,1018712064,7325024256,0.404647827
460846,1280,720,2,19549,1,1018712064,7325020160,0.404077053
457388,1280,720,2,19549,1,1018712064,7325020160,0.412981033
463941,1280,720,2,23113,1,1018712064,7325016064,0.444302082
457691,1280,720,2,19549,1,1018712064,7325011968,0.488992214
454952,1280,720,2,16200,1,1018712064,7325011968,0.401998043
456046,1280,720,2,19549,1,1018712064,7325011968,0.409297943
1169196,1920,1080,3,39646,1,1018712064,7325011968,0.891876221
1166539,1920,1080,2,23005,1,1018712064,7325011968,0.880825043
1172877,1920,1080,2,23005,1,1018712064,7325011968,0.913067102
1171475,1920,1080,3,39754,1,1018712064,7325011968,0.892905951
1151852,1920,1080,3,36315,1,1018712064,7325011968,0.927722931
1149106,1920,1080,2,23220,1,1018712064,7325011968,0.906300068
1139377,1920,1080,3,39753,1,1018712064,7325011968,0.885256052
1133409,1920,1080,3,44838,1,1018712064,7325011968,0.888696194
1137959,1920,1080,3,44838,1,1018712064,7325011968,0.882752895
1143996,1920,1080,2,23220,1,1018712064,7325011968,0.940104008
1147634,1920,1080,2,23005,1,1018712064,7325011968,0.882549047
1145272,1920,1080,3,34668,1,1018712064,7325011968,0.885885
1151709,1920,1080,3,39753,1,1018712064,7325011968,0.883177042
1158088,1920,1080,1,8010,1,1018712064,7324999680,0.941898823
1160823,1920,1080,1,8010,1,1018712064,7324999680,0.883767128
